Ranking,Player,Age,Points,,
1,Novak Djokovic,33,11830,,
2,Rafael Nadal,34,9850,,
3,Dominic Thiem,27,9125,,
4,Daniil Medvedev,24,6970,,
5,Roger Federer,39,6630,,
6,Stefanos Tsitsipas,22,5925,,
7,Alexander Zverev,23,5525,,
8,Andrey Rublev,23,3919,,
9,Diego Schwartzman,28,3455,,
10,Matteo Berrettini,24,3075,,
11,Gael Monfils,34,2860,,
12,Denis Shapovalov,21,2830,,
13,Roberto Bautista Agut,32,2710,,
14,Milos Raonic,29,2580,,
15,David Goffin,29,2555,,
16,Pablo Carreno Busta,29,2535,,
17,Fabio Fognini,33,2400,,
18,Stan Wawrinka,35,2320,,
19,Grigor Dimitrov,29,2260,,
20,Karen Khachanov,24,2245,,
21,Felix Auger-Aliassime,20,2216,,
22,Cristian Garin,24,2170,,
23,Borna Coric,23,1855,,
24,John Isner,35,1850,,
25,Alex de Minaur,21,1815,,
26,Dusan Lajovic,30,1785,,
27,Casper Ruud,21,1739,,
28,Benoit Paire,31,1738,,
29,Taylor Fritz,23,1670,,
30,Ugo Humbert,22,1646,,
31,Filip Krajinovic,28,1628,,
32,Daniel Evans,30,1589,,
33,Lorenzo Sonego,25,1568,,
34,Hubert Hurkacz,23,1518,,
35,Adrian Mannarino,32,1471,,
36,Jan-Lennard Struff,30,1450,,
37,Reilly Opelka,23,1402,,
38,John Millman,31,1396,,
39,Nikoloz Basilashvili,28,1395,,
40,Kei Nishikori,30,1345,,
41,Marin Cilic,32,1325,,
42,Guido Pella,30,1310,,
43,Miomir Kecmanovic,21,1308,,
44,Jannik Sinner,19,1214,,
45,Nick Kyrgios,25,1170,,
46,Albert Ramos-Vinolas,32,1165,,
47,Kyle Edmund,25,1085,,
48,Tennys Sandgren,29,1081,,
49,Richard Gasquet,34,1075,,
50,Alexander Bublik,23,1070,,
51,Jordan Thompson,26,1068,,
52,Alejandro Davidovich Fokina,21,1066,,
53,Sam Querrey,33,1065,,
54,Tommy Paul,23,1065,,
55,Marton Fucsovics,28,1062,,
56,Yoshihito Nishioka,25,1062,,
57,Laslo Djere,25,1058,,
58,Aljaz Bedene,31,1045,,
59,Frances Tiafoe,22,1030,,
60,Pablo Andujar,34,1024,,
61,Jo-Wilfried Tsonga,35,1005,,
62,Gilles Simon,35,1005,,
63,Feliciano Lopez,39,998,,
64,Fernando Verdasco,36,975,,
65,Dominik Koepfer,26,921,,
66,Pablo Cuevas,34,917,,
67,Jiri Vesely,27,913,,
68,Ricardas Berankis,30,889,,
69,Lucas Pouille,26,880,,
70,Cameron Norrie,25,877,,
71,Steve Johnson,30,870,,
72,Marcos Giron,27,869,,
73,Stefano Travaglia,28,869,,
74,Vasek Pospisil,30,863,,
75,Jeremy Chardy,33,860,,
76,Corentin Moutet,21,838,,
77,Juan Ignacio Londero,27,832,,
78,Marco Cecchinato,28,828,,
79,Kevin Anderson,34,825,,
80,Federico Delbonis,30,825,,
81,Egor Gerasimov,27,820,,
82,Salvatore Caruso,27,813,,
83,Pierre-Hugues Herbert,29,812,,
84,Thiago Monteiro,26,804,,
85,Pedro Martinez,23,800,,
86,Lloyd Harris,23,793,,
87,Emil Ruusuvuori,21,791,,
88,Norbert Gombos,30,789,,
89,Mikhail Kukushkin,32,776,,
90,Joao Sousa,31,776,,
91,Federico Coria,28,775,,
92,Attila Balazs,32,774,,
93,Radu Albot,30,772,,
94,Mikael Ymer,22,763,,
95,Soonwoo Kwon,22,752,,
96,Dennis Novak,27,737,,
97,Philipp Kohlschreiber,37,729,,
98,Yannick Hanfmann,28,728,,
99,Gianluca Mager,25,725,,
100,Yuichi Sugita,32,713,,
101,James Duckworth,28,701,,
102,Yasutaka Uchiyama,28,696,,
103,Roberto Carballes Baena,27,694,,
104,Andreas Seppi,36,689,,
105,Andrej Martin,31,686,,
106,Kamil Majchrzak,24,680,,
107,Gregoire Barrere,26,647,,
108,Jaume Munar,23,646,,
109,Hugo Dellien,27,638,,
110,Alexei Popyrin,21,623,,
111,Pedro Sousa,32,610,,
112,Ilya Ivashka,26,601,,
113,Thiago Seyboth Wild,20,586,,
114,Aslan Karatsev,27,586,,
115,Taro Daniel,27,581,,
116,Sebastian Korda,20,563,,
117,Damir Dzumhur,28,562,,
118,Christopher O'Connell,26,558,,
119,Andy Murray,33,547,,
120,Evgeny Donskoy,30,540,,
121,Marc Polmans,23,539,,
122,Cedrik-Marcel Stebe,30,529,,
123,Facundo Bagnis,30,528,,
124,Denis Kudla,28,521,,
125,J.J. Wolf,21,519,,
126,Lorenzo Musetti,18,509,,
127,Daniel Altmaier,22,501,,
128,Jozef Kovalik,28,491,,
